Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Customer Ref,Qty1,Qty2,Qty3,Part References
DS1307Z+,Maxim Integrated Products,DK,DS1307Z+-ND,IC RTC SERIAL 512K 8-SOIC,REF29,1,5,25,U1
EDSTLZ951/2,On Shore Technology Inc,DK,ED2427-ND,TERM BLOCK HDR 5.08MM 2POS PCB,REF40,1,5,25,X1
EDZ951/2,On Shore Technology Inc,DK,ED2409-ND,TERM BLOCK PLUG 5.08MM 2POS,REF39,1,5,25,X1-MATE
PM2001-200,JW Miller A Bourns Company,DK,M1331CT-ND,FERRITE CHIP 20 OHM 25%,REF20,1,5,25,L3
IRF614SPBF,Vishay/Siliconix,DK,IRF614SPBF-ND,MOSFET N-CH 250V 2.7A D2PAK,REF91,2,10,50,Q3/Q4
ISD4002-240SY,Nuvoton Technology Corporation,DK,ISD4002-240SY,IC VOICE REC/PLAY 240S 28-SOIC,REF36,1,5,25,U9
L78L33ACUTR,STMicroelectronics,DK,497-1200-1-ND,IC REGULATOR POS 3.3V SOT89,REF83,1,5,25,U4
L7805ACD2T,STMicroelectronics,DK,497-1440-5-ND,IC REG POS 1.5A 5V PREC D2PAK,REF84,1,5,25,U11
LM324D,Texas Instruments,DK,296-1390-5-ND,IC OPAMP GP 1.2MHZ QUAD 14SOIC,REF85,1,5,25,U5
MAX323CSA+,Maxim Integrated Products,DK,MAX323CSA+-ND,IC SWITCH DUAL SPST 8SOIC,REF30,1,5,25,U7
MAX3243ECPWR,Texas Instruments,DK,296-19808-1-ND,IC RS232 3V-5.5V DRVR 28-TSSOP,REF86,1,5,25,U3
ATMEGA1281-16AU,Atmel,DK,ATMEGA1281-16AU-ND,MCU AVR 128K FLASH 16MHZ 64TQFP,REF3,1,5,25,U2
MF-SM030-2,Bourns Inc.,DK,MF-SM030CT-ND,FUSE RESETTABLE .30A 60V SMD,REF5,1,5,25,PF1
MMBTA05LT1G,ON Semiconductor,DK,MMBTA05LT1GOSCT-ND,TRANS DRIVER SS NPN 60V SOT23,REF38,2,10,50,Q1/Q5
MX828DW,CML Electronics,MX,MX828DW,PL ENCODER/DECODER (DISCONTINUED!!!),REF8,1,5,25,U8
NCP21WF104J03RA,Murata Electronics North America,DK,490-2451-1-ND,THERMISTOR 100K OHM NTC 0805 SMD,REF34,1,5,25,R22
5350T5,Chicago Miniature Lighting,DK,L20085-ND,LED GREEN T-3/4 RT ANG PCB,REF7,1,5,25,D11
RS1GB-13-F,Diodes Inc,DK,RS1GB-FDICT-ND,DIODE FAST RECOVERY 1A 400V SMB,REF13,3,15,75,D5/D6/D9
TLC084CD,Texas Instruments,DK,296-2423-5-ND,IC OPAMP GP 10MHZ QUAD 14SOIC,REF87,1,5,25,U10
ZXMN6A07ZTA,Diodes/Zetex,DK,ZXMN6A07ZCT-ND,MOSFET N-CH 60V 1.9A SOT-89,REF14,1,5,25,Q2
