AP2151WGDICT-ND,Diodes Inc,AP2151WG-7,IC PWR SW USB 1CH 0.5A SOT-25-5,15,75,150,
H11671CT-ND,Hirose Electric Co Ltd,UX60SC-MB-5ST(80),CONN RCPT USB MINI B R/A SMD,1,5,10,
LNJ337W83RACT-ND,Panasonic - SSG,LNJ337W83RA,LED GREEN HIGH BRIGHT ESS SMD,11,55,110,
LNJ437W84RACT-ND,Panasonic - SSG,LNJ437W84RA,LED AMBER HIGH BRIGHT ESS SMD,10,50,100,
LNJ937W8CRACT-ND,Panasonic - SSG,LNJ937W8CRA,LED BLUE HIGH BRIGHT ESS SMD,10,50,100,
MF-FSMF020X-2CT-ND,Bourns Inc.,MF-FSMF020X-2,FUSE PTC RESET 200MA SMD 0603,5,25,50,
MF-FSMF050X-2CT-ND,Bourns Inc.,MF-FSMF050X-2,FUSE PTC RESET 500MA SMD 0603,11,55,110,
MSS1P4-M3/89AGICT-ND,Vishay,MSS1P4-M3/89A,DIODE SCHOTTKY 1A 40V MICROSMP,21,105,210,
NTGS4111PT1G,ON Semiconductor,NTGS4111P,MOSFET P-CH 30V 2.6A 6-TSOP,16,80,160,
NX3225SA-24.000000MHZ,NDK,NX3225SA-24.000000MHZ,CRYSTAL 24.000000 MHZ 8PF SMD,10,50,100,
OR994-ND,Omron Electronics Inc-EMC Div,XG4C-3031,CONN PLUG 30POS 3A 300V STRT DIP,1,5,10,
P120JCT-ND,Panasonic - ECG,P120JCT-ND,RES 120 OHM 1/10W 5% 0402 SMD,5,25,50,
P12278SCT-ND,Panasonic - ECG,EVQP7J01K,SWITCH LT 3.5MMX2.9MM 160GF SMD,5,25,50,
P13595SCT-ND,Panasonic - ECG,EVQ-5PN04K,SWITCH LT TOUCH 6X3.5 240GF SMD,1,5,10,
P205LCT-ND,Panasonic - ECG,ERJ-2RKF2050X,RES 205 OHM 1/10W 1% 0402 SMD,5,25,50,
RHM270JCT-ND,Rohm Semiconductor,MCR01MZPJ271,RES 270 OHM 1/16W 5% 0402 SMD,30,150,300,
RHM82JCT-ND,Rohm Semiconductor,MCR01MZPJ820,RES 82 OHM 1/16W 5% 0402 SMD,20,100,200,
RMCF0402FT10K0CT-ND,Stackpole Electronics Inc,RMCF0402FT10K0,RES 10K OHM 1/16W 1% 0402 SMD,57,285,570,
RMCF0402FT1K00CT-ND,Stackpole Electronics Inc,RMCF0402FT1K00,RES 1K OHM 1/16W 1% 0402 SMD,1,5,10,
RMCF0402JT100RCT-ND,Stackpole Electronics Inc,RMCF0402JT100R,RES 100 OHM 1/16W 5% 0402 SMD,20,100,200,
RMCF0402JT1K00CT-ND,Stackpole Electronics Inc,RMCF0402JT1K00,RES 1K OHM 1/16W 5% 0402 SMD,10,50,100,
RMCF0402JT1K50CT-ND,Stackpole Electronics Inc,RMCF0402JT1K50,RES TF 1.5K OHM 5% 1/16W 0402,50,250,500,
RMCF0402JT22R0CT-ND,Stackpole Electronics Inc,RMCF0402JT22R0,RES TF 22 OHM 5% 1/16W 0402,20,100,200,
RMCF0402JT470RCT-ND,Stackpole Electronics In,RMCF0402JT470R,RES TF 470 OHM 5% 1/16W 0402,10,50,100,
RMCF0402ZT0R00CT-ND,Stackpole Electronics Inc,RMCF0402ZT0R00,RES 0.0 OHM 1/16W 0402 SMD,10,50,100,
TC164J-100CT-ND,Yageo,TC164-JR-07100RL,RES ARRAY 100 OHM 8TRM 4 RES SMD,10,50,100,
TLP3123F-ND,Toshiba,TLP3123(F),PHOTORELAY MOSFET 1A 4-SOP,10,50,100,
WM1731-ND,Molex Inc,53047-02,CONN HEADER 2POS 1.25MM VERT TIN,20,100,200,
WM1733-ND,Molex Inc,53047-04,CONN HEADER 4POS 1.25MM VERT TIN,5,25,50,
WM7632CT-ND,Molex Inc,53261-15,CONN HEADER 15POS 1.25MM R/A SMD,5,25,50,
