Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Vendor Qty 1	Vendor Qty 2	Vendor Qty 3	Customer Ref	Price Qty 1	Price Qty 2	Price Qty 3	Vendor Reel Part Num	Vendor Link	Datasheet Link
53261-15	Molex Inc	DK	WM7632CT-ND	CONN HEADER 15POS 1.25MM R/A SMD	10	50	100		2.19900	1.89920	1.69930	WM7632DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=WM7632CT-ND	http://www.molex.com/pdm_docs/sd/532611571_sd.pdf
CC0402KRX7R7BB103	Yageo	DK	311-1042-1-ND	CAP 10000PF 16V CERAMIC X7R 0402	10	100	500		0.01100	0.00670	0.00386	311-1042-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1042-1-ND	http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf
C1005Y5V1C224Z	TDK Corporation	DK	445-3444-1-ND	CAP CER .22UF 16V Y5V 0402	10	100	500		0.03000	0.01760	0.01012	445-3444-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-3444-1-ND	http://www.tdk.com/pdf/general_A11.pdf
C1608Y5V0J475Z	TDK Corporation	DK	445-3449-1-ND	CAP CER 4.7UF 6.3V Y5V 0603	10	100	500		0.12100	0.07150	0.04126	445-3449-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-3449-1-ND	http://www.tdk.com/pdf/general_A11.pdf
CC0402KRX7R9BB471	Yageo	DK	311-1028-1-ND	CAP 470PF 50V CERAMIC X7R 0402	10	100	500		0.01100	0.00670	0.00386	311-1028-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1028-1-ND	http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf
LTST-C193KGKT-5A	Lite-On Inc	DK	160-1828-1-ND	LED GREEN RECT CLEAR 0603	10	100	250		0.33300	0.19610	0.13876	160-1828-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=160-1828-1-ND	http://optoelectronics.liteon.com/en-us/api/DwonloadFileHandler.ashx?txtSpecNo=DS22-2007-0094&txtPartNo=LTST-C193KGKT-5A
LNJ437W84RA	Panasonic - SSG	DK	LNJ437W84RACT-ND	LED AMBER HIGH BRIGHT ESS SMD	1	25	100		0.53000	0.31000	0.25000	LNJ437W84RADKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=LNJ437W84RACT-ND	http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+SC+4+ATA7003+LNJ437W84RA+8+WW
LNJ937W8CRA	Panasonic - SSG	DK	LNJ937W8CRACT-ND	LED BLUE HIGH BRIGHT ESS SMD	1	25	100		0.48000	0.31680	0.26000	LNJ937W8CRADKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=LNJ937W8CRACT-ND	http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+SC+4+ATA7003+LNJ937W8CRA+8+WW
TXB0102DCUR	Texas Instruments	DK	296-22862-1-ND	IC VOLT-LVL TRANSL BI-DIR 8-US8	1	25	100		1.48000	1.17000	1.05300	296-22862-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-22862-1-ND	http://focus.ti.com/lit/ds/symlink/txb0102.pdf
MF-FSMF050X-2	Bourns Inc.	DK	MF-FSMF050X-2CT-ND	FUSE PTC RESET 500MA SMD 0603	10	100	500		0.36000	0.33000	0.31200	MF-FSMF050X-2DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MF-FSMF050X-2CT-ND	http://www.bourns.com/data/global/pdfs/mffsmf.pdf
MF-FSMF020X-2	Bourns Inc.	DK	MF-FSMF020X-2CT-ND	FUSE PTC RESET 200MA SMD 0603	10	100	500		0.36000	0.33000	0.31200	MF-FSMF020X-2DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MF-FSMF020X-2CT-ND	http://www.bourns.com/data/global/pdfs/mffsmf.pdf
C1608Y5V1C225Z	TDK Corporation	DK	445-3451-1-ND	CAP CER 2.2UF 16V Y5V 0603	10	100	500		0.08800	0.05200	0.03000	445-3451-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-3451-1-ND	http://www.tdk.com/pdf/general_A11.pdf
*	ME	ME	XXXX											
RMCF0402FT1K00	Stackpole Electronics Inc	DK	RMCF0402FT1K00CT-ND	RES 1K OHM 1/16W 1% 0402 SMD	10	50	100		0.02500	0.01380	0.01050	RMCF0402FT1K00DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402FT1K00CT-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf
CC0402JRNP09BN100	Yageo	DK	311-1014-1-ND	CAP CERAMIC 10PF 50V NP0 0402	10	100	500		0.01200	0.00700	0.00406	311-1014-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1014-1-ND	http://www.yageo.com/documents/recent/UPY-GP_NP0_16V-to-50V_6.pdf
RC0402FR-0739K2L	Yageo	DK	311-39.2KLRCT-ND	RES 39.2K OHM 1/16W 1% 0402 SMD	10	50	200		0.06700	0.03620	0.02085	311-39.2KLRDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-39.2KLRCT-ND	http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf
RMCF0402JT1K00	Stackpole Electronics Inc	DK	RMCF0402JT1K00CT-ND	RES 1K OHM 1/16W 5% 0402 SMD	10	50	100		0.01700	0.00920	0.00700	RMCF0402JT1K00DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402JT1K00CT-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf
RMCF0402JT4K70	Stackpole Electronics Inc	DK	RMCF0402JT4K70CT-ND	RES 4.7K OHM 1/16W 5% 0402 SMD	10	50	100		0.01700	0.00920	0.00700	RMCF0402JT4K70DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402JT4K70CT-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf
RMCF0402JT100R	Stackpole Electronics Inc	DK	RMCF0402JT100RCT-ND	RES 100 OHM 1/16W 5% 0402 SMD	10	50	100		0.01700	0.00920	0.00700	RMCF0402JT100RDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402JT100RCT-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf
RMCF0402JT220R	Stackpole Electronics Inc	DK	RMCF0402JT220RCT-ND	RES 220 OHM 1/16W 5% 0402 SMD	10	50	100		0.01700	0.00920	0.00700	RMCF0402JT220RDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402JT220RTR-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf
RMCF0402ZT0R00	Stackpole Electronics Inc	DK	RMCF0402ZT0R00CT-ND	RES 0.0 OHM 1/16W 0402 SMD	10	50	100		0.01700	0.00920	0.00700	RMCF0402ZT0R00DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402ZT0R00CT-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf
ERJ-2GEJ680X	Panasonic - ECG	DK	P68JCT-ND	RES 68 OHM 1/10W 5% 0402 SMD	1	50	100		0.05000	0.01720	0.01310	P68JDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P68JCT-ND	http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ2GEJ680X+7+WW
RMCF0402JT22R0	Stackpole Electronics Inc	DK	RMCF0402JT22R0CT-ND	RES TF 22 OHM 5% 1/16W 0402	10	50	100		0.01700	0.00920	0.00700	RMCF0402JT22R0DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402JT22R0CT-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf
